"id","input_data","full_response","response","feedback","created_at","parent_mlalgorithm_id"
"11","""recording certain services may provide functionality that allows you to record audio and data shared during presentations webinars or sessions you are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any recording functionality\r""","{'paragraph': 'recording certain services may provide functionality that allows you to record audio and data shared during presentations webinars or sessions you are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any recording functionality\r', 'summary': 'You are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any', 'label': 'data', 'status': 'OK'}","data","","2022-08-24 09:47:10.957856","1"
"12","""assignment you may not assign your rights or delegate your duties under these terms of service either in whole or in part without prezis prior written consent any attempted assignment by you without prezis consent will be void prezi may assign these terms of service or delegate its duties hereunder without restriction and without the requirement of prior notice to you""","{'paragraph': 'assignment you may not assign your rights or delegate your duties under these terms of service either in whole or in part without prezis prior written consent any attempted assignment by you without prezis consent will be void prezi may assign these terms of service or delegate its duties hereunder without restriction and without the requirement of prior notice to you', 'summary': 'Prezi may assign these terms of service or delegate its duties hereunder without restriction and', 'label': 'data', 'status': 'OK'}","data","","2022-08-24 09:47:13.615306","1"
"13","{""paragraph"": ""we may share your personal information with third parties vendors consultants and other service providers who are working on our behalf and need access to your information to carry out their work for us""}","{'summary': {'error': 'Rate limit reached. Please log in or use your apiToken'}, 'status': 'OK'}","{'error': 'Rate limit reached. Please log in or use your apiToken'}","","2022-08-24 10:49:34.550587","1"
"14","{""paragraph"": ""we may share your personal information with third parties vendors consultants and other service providers who are working on our behalf and need access to your information to carry out their work for us""}","{'summary': [{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}], 'status': 'OK'}","[{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}]","","2022-08-24 10:51:50.590465","1"
"15","""highrisk use except as otherwise set forth in a prezi service description you understand that the prezi services are not designed or intended for use during highrisk activities\r""","{'paragraph': 'highrisk use except as otherwise set forth in a prezi service description you understand that the prezi services are not designed or intended for use during highrisk activities\r', 'summary': 'You understand that the prezi services are not designed or intended for use during highrisk', 'label': 'data', 'status': 'OK'}","data","","2022-08-24 10:53:12.071022","1"
"16","""recording certain services may provide functionality that allows you to record audio and data shared during presentations webinars or sessions you are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any recording functionality\r""","{'paragraph': 'recording certain services may provide functionality that allows you to record audio and data shared during presentations webinars or sessions you are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any recording functionality\r', 'summary': 'You are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any', 'label': 'data', 'status': 'OK'}","data","","2022-08-24 10:53:12.766211","1"
"17","""assignment you may not assign your rights or delegate your duties under these terms of service either in whole or in part without prezis prior written consent any attempted assignment by you without prezis consent will be void prezi may assign these terms of service or delegate its duties hereunder without restriction and without the requirement of prior notice to you""","{'paragraph': 'assignment you may not assign your rights or delegate your duties under these terms of service either in whole or in part without prezis prior written consent any attempted assignment by you without prezis consent will be void prezi may assign these terms of service or delegate its duties hereunder without restriction and without the requirement of prior notice to you', 'summary': 'Prezi may assign these terms of service or delegate its duties hereunder without restriction and', 'label': 'data', 'status': 'OK'}","data","","2022-08-24 10:53:13.485489","1"
"18","{""paragraph"": ""we may share your personal information with third parties vendors consultants and other service providers who are working on our behalf and need access to your information to carry out their work for us""}","{'summary': [{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}], 'status': 'OK'}","[{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}]","","2022-08-29 21:46:38.595805","1"
"19","{""paragraph"": ""we may share your personal information with third parties vendors consultants and other service providers who are working on our behalf and need access to your information to carry out their work for us""}","{'summary': [{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}], 'status': 'OK'}","[{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}]","","2022-08-29 22:04:22.503071","1"
"20","""We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.""","{'paragraph': 'We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.', 'summary': 'We collect personal information when you provide it to us. This includes when you use our', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:40:34.636452","1"
"21","""We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.""","{'paragraph': 'We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.', 'summary': 'We collect personal information when you provide it to us. This includes when you use our', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:41:12.944529","1"
"22","""We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.""","{'paragraph': 'We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.', 'summary': 'We collect personal information when you provide it to us. This includes when you use our', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:45:32.461896","1"
"23","""We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.\r""","{'paragraph': 'We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.\r', 'summary': 'We collect personal information when you provide it to us, when you use our Website or', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:24.720943","1"
"24","""Your Communications with Us: We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, register for our newsletter, request customer or technical support, or otherwise communicate with us. We also collect the contents of messages or attachments that you may send to us, as well as other information you choose to provide, and that may be associated with your communications.\r""","{'paragraph': 'Your Communications with Us: We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, register for our newsletter, request customer or technical support, or otherwise communicate with us. We also collect the contents of messages or attachments that you may send to us, as well as other information you choose to provide, and that may be associated with your communications.\r', 'summary': 'We collect personal information from you such as email address, phone number, or mailing address', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:28.751219","1"
"25","""Payment Information When you purchase a subscription to the Services, we will collect payment information allowing you to pay us. We use third-party payment providers to process payments on the Services. We may receive information associated with your payment information, such as billing address and transaction information, but we do not directly store payment information on the Services.\r""","{'paragraph': 'Payment Information When you purchase a subscription to the Services, we will collect payment information allowing you to pay us. We use third-party payment providers to process payments on the Services. We may receive information associated with your payment information, such as billing address and transaction information, but we do not directly store payment information on the Services.\r', 'summary': 'We use third-party payment providers to process payments on the Services. We may receive', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:34.461161","1"
"26","""Surveys: We may contact you to participate in surveys. If you decide to participate, you may be asked to provide certain information which may include personal information.\r""","{'paragraph': 'Surveys: We may contact you to participate in surveys. If you decide to participate, you may be asked to provide certain information which may include personal information.\r', 'summary': 'We may contact you to participate in surveys. If you decide to participate, you may', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:36.396188","1"
"27","""Interactive Features: We may offer interactive features such as forums, blogs, chat and messaging services, and social media pages. We and others who use our Website or Services may collect the information you submit or make available through these interactive features. Any content you provide via the public sections of these features will be considered \u201cpublic\u201d and is not subject to the privacy protections referenced herein. By using these interactive features, you understand that the personal information provided by you may be viewed and used by third parties for their own purposes.\r""","{'paragraph': 'Interactive Features: We may offer interactive features such as forums, blogs, chat and messaging services, and social media pages. We and others who use our Website or Services may collect the information you submit or make available through these interactive features. Any content you provide via the public sections of these features will be considered “public” and is not subject to the privacy protections referenced herein. By using these interactive features, you understand that the personal information provided by you may be viewed and used by third parties for their own purposes.\r', 'summary': 'We may offer interactive features such as forums, blogs, chat and messaging services, and', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:39.123637","1"
"28","""Registration for Sweepstakes or Contests: We may run sweepstakes and contests. Contact information you provide may be used to inform you about the sweepstakes or contest and for other promotional, marketing and business purposes.\r""","{'paragraph': 'Registration for Sweepstakes or Contests: We may run sweepstakes and contests. Contact information you provide may be used to inform you about the sweepstakes or contest and for other promotional, marketing and business purposes.\r', 'summary': 'We may run sweepstakes and contests. Contact information you provide may be used to inform', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:41.105944","1"
"29","""Conferences, Trade Shows, and Other Events: We may attend conferences, trade shows, and other events where we collect personal information from individuals who interact with or express an interest in the Services.\r""","{'paragraph': 'Conferences, Trade Shows, and Other Events: We may attend conferences, trade shows, and other events where we collect personal information from individuals who interact with or express an interest in the Services.\r', 'summary': 'We may attend conferences, trade shows, and other events where we collect personal information.', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:42.920369","1"
"30","""Job Applications. We may post job openings and opportunities on the Website or Services. If you reply to one of these postings by submitting your application, CV and/or cover letter to us, we will collect and use your information to assess your qualifications.\r""","{'paragraph': 'Job Applications. We may post job openings and opportunities on the Website or Services. If you reply to one of these postings by submitting your application, CV and/or cover letter to us, we will collect and use your information to assess your qualifications.\r', 'summary': 'We may post job openings and opportunities on the Website or Services. If you reply to', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:48.934520","1"
"31","""Cookies, Pixel Tags/Web Beacons, and Analytics Information:** We, as well as third parties that provide content, advertising, or other functionality on the Services, may use cookies, pixel tags, local storage, and other technologies (\u201cTechnologies\u201d) to automatically collect information through the Website or Services. Technologies are essentially small data files placed on your devices that allow us and our partners to record certain pieces of information whenever you visit or interact with our Services.  For more information regarding these Technologies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r""","{'paragraph': 'Cookies, Pixel Tags/Web Beacons, and Analytics Information:** We, as well as third parties that provide content, advertising, or other functionality on the Services, may use cookies, pixel tags, local storage, and other technologies (“Technologies”) to automatically collect information through the Website or Services. Technologies are essentially small data files placed on your devices that allow us and our partners to record certain pieces of information whenever you visit or interact with our Services.  For more information regarding these Technologies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r', 'summary': 'We may use cookies, pixel tags, local storage, and other technologies to automatically collect', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:51.946153","1"
"32","""Analytics: We may also use third-party service providers to collect and process analytics and other information on our Website or Services. These third-party service providers may use cookies, pixel tags, web beacons or other storage technology to collect and store analytics and other information. They have their own privacy policies addressing how they use the analytics and other information and we do not have access to, nor control over, third parties\u2019 use of cookies or other tracking technologies.  For more information regarding third-party cookies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r""","{'paragraph': 'Analytics: We may also use third-party service providers to collect and process analytics and other information on our Website or Services. These third-party service providers may use cookies, pixel tags, web beacons or other storage technology to collect and store analytics and other information. They have their own privacy policies addressing how they use the analytics and other information and we do not have access to, nor control over, third parties’ use of cookies or other tracking technologies.  For more information regarding third-party cookies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r', 'summary': 'We may also use third-party service providers to collect and process analytics and other information', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:55.440928","1"
"33","""Should you choose to use the Google Contacts feature within our Services, we will have the ability to view your contacts via the Google People API. The sole use of this data is to populate the auto-completion of your contacts when sending invitation emails. Notion will not use this data for any other purpose""","{'paragraph': 'Should you choose to use the Google Contacts feature within our Services, we will have the ability to view your contacts via the Google People API. The sole use of this data is to populate the auto-completion of your contacts when sending invitation emails. Notion will not use this data for any other purpose', 'summary': 'The sole use of this data is to populate the auto-completion of your contacts', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 14:51:59.491068","1"
"34","""We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.\r""","{'paragraph': 'We collect personal information when you provide it to us, when you use our Website or Services, and when other sources provide it to us, as further described below.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:02:41.796831","1"
"35","""A. Information You Provide to Us\r""","{'paragraph': 'A. Information You Provide to Us\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:02:46.553486","1"
"36","""Account Creation: When you create an account or otherwise use the Services, we collect information such as your name, email address, password, role within your team or enterprise, and an optional profile photo.\r""","{'paragraph': 'Account Creation: When you create an account or otherwise use the Services, we collect information such as your name, email address, password, role within your team or enterprise, and an optional profile photo.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:02:50.680519","1"
"37","""Your Communications with Us: We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, register for our newsletter, request customer or technical support, or otherwise communicate with us. We also collect the contents of messages or attachments that you may send to us, as well as other information you choose to provide, and that may be associated with your communications.\r""","{'paragraph': 'Your Communications with Us: We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, register for our newsletter, request customer or technical support, or otherwise communicate with us. We also collect the contents of messages or attachments that you may send to us, as well as other information you choose to provide, and that may be associated with your communications.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:02:54.591444","1"
"38","""Payment Information When you purchase a subscription to the Services, we will collect payment information allowing you to pay us. We use third-party payment providers to process payments on the Services. We may receive information associated with your payment information, such as billing address and transaction information, but we do not directly store payment information on the Services.\r""","{'paragraph': 'Payment Information When you purchase a subscription to the Services, we will collect payment information allowing you to pay us. We use third-party payment providers to process payments on the Services. We may receive information associated with your payment information, such as billing address and transaction information, but we do not directly store payment information on the Services.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:02:58.525997","1"
"39","""Surveys: We may contact you to participate in surveys. If you decide to participate, you may be asked to provide certain information which may include personal information.\r""","{'paragraph': 'Surveys: We may contact you to participate in surveys. If you decide to participate, you may be asked to provide certain information which may include personal information.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:02.672696","1"
"40","""Interactive Features: We may offer interactive features such as forums, blogs, chat and messaging services, and social media pages. We and others who use our Website or Services may collect the information you submit or make available through these interactive features. Any content you provide via the public sections of these features will be considered \u201cpublic\u201d and is not subject to the privacy protections referenced herein. By using these interactive features, you understand that the personal information provided by you may be viewed and used by third parties for their own purposes.\r""","{'paragraph': 'Interactive Features: We may offer interactive features such as forums, blogs, chat and messaging services, and social media pages. We and others who use our Website or Services may collect the information you submit or make available through these interactive features. Any content you provide via the public sections of these features will be considered “public” and is not subject to the privacy protections referenced herein. By using these interactive features, you understand that the personal information provided by you may be viewed and used by third parties for their own purposes.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:06.458756","1"
"41","""Registration for Sweepstakes or Contests: We may run sweepstakes and contests. Contact information you provide may be used to inform you about the sweepstakes or contest and for other promotional, marketing and business purposes.\r""","{'paragraph': 'Registration for Sweepstakes or Contests: We may run sweepstakes and contests. Contact information you provide may be used to inform you about the sweepstakes or contest and for other promotional, marketing and business purposes.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:10.343756","1"
"42","""Conferences, Trade Shows, and Other Events: We may attend conferences, trade shows, and other events where we collect personal information from individuals who interact with or express an interest in the Services.\r""","{'paragraph': 'Conferences, Trade Shows, and Other Events: We may attend conferences, trade shows, and other events where we collect personal information from individuals who interact with or express an interest in the Services.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:15.634755","1"
"43","""Job Applications. We may post job openings and opportunities on the Website or Services. If you reply to one of these postings by submitting your application, CV and/or cover letter to us, we will collect and use your information to assess your qualifications.\r""","{'paragraph': 'Job Applications. We may post job openings and opportunities on the Website or Services. If you reply to one of these postings by submitting your application, CV and/or cover letter to us, we will collect and use your information to assess your qualifications.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:21.853759","1"
"44","""B. Information Collected Automatically\r""","{'paragraph': 'B. Information Collected Automatically\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:26.198759","1"
"45","""Automatic Data Collection: We keep track of certain information about you when you visit and interact with our Website or Services. This information may include your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, details about your browser, operating system or device, location information (including inferred location based off of your IP address), Internet service provider, pages that you visit before, during and after using the Website or Services, information about the links you click, information about how you interact with the Website or Services, including the frequency and duration of your activities, and other information about how you use the Website or Services. Information we collect may be associated with accounts and other devices.\r""","{'paragraph': 'Automatic Data Collection: We keep track of certain information about you when you visit and interact with our Website or Services. This information may include your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, details about your browser, operating system or device, location information (including inferred location based off of your IP address), Internet service provider, pages that you visit before, during and after using the Website or Services, information about the links you click, information about how you interact with the Website or Services, including the frequency and duration of your activities, and other information about how you use the Website or Services. Information we collect may be associated with accounts and other devices.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:30.535721","1"
"46","""Cookies, Pixel Tags/Web Beacons, and Analytics Information:** We, as well as third parties that provide content, advertising, or other functionality on the Services, may use cookies, pixel tags, local storage, and other technologies (\u201cTechnologies\u201d) to automatically collect information through the Website or Services. Technologies are essentially small data files placed on your devices that allow us and our partners to record certain pieces of information whenever you visit or interact with our Services.  For more information regarding these Technologies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r""","{'paragraph': 'Cookies, Pixel Tags/Web Beacons, and Analytics Information:** We, as well as third parties that provide content, advertising, or other functionality on the Services, may use cookies, pixel tags, local storage, and other technologies (“Technologies”) to automatically collect information through the Website or Services. Technologies are essentially small data files placed on your devices that allow us and our partners to record certain pieces of information whenever you visit or interact with our Services.  For more information regarding these Technologies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:35.057235","1"
"47","""Analytics: We may also use third-party service providers to collect and process analytics and other information on our Website or Services. These third-party service providers may use cookies, pixel tags, web beacons or other storage technology to collect and store analytics and other information. They have their own privacy policies addressing how they use the analytics and other information and we do not have access to, nor control over, third parties\u2019 use of cookies or other tracking technologies.  For more information regarding third-party cookies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r""","{'paragraph': 'Analytics: We may also use third-party service providers to collect and process analytics and other information on our Website or Services. These third-party service providers may use cookies, pixel tags, web beacons or other storage technology to collect and store analytics and other information. They have their own privacy policies addressing how they use the analytics and other information and we do not have access to, nor control over, third parties’ use of cookies or other tracking technologies.  For more information regarding third-party cookies, please see our [Cookie Notice](https://www.notion.so/bc186044eed5488a8387a9e94b14e58c).\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:39.986229","1"
"48","""C. Information from Other Sources\r""","{'paragraph': 'C. Information from Other Sources\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:44.895893","1"
"49","""We may obtain information about you from other sources, including through third-party services and organizations. For example, if you access our Website or Services through a third-party application, such as a social networking site or a third-party login service, we may collect information about you from that third party that you have made available via your privacy settings.\r""","{'paragraph': 'We may obtain information about you from other sources, including through third-party services and organizations. For example, if you access our Website or Services through a third-party application, such as a social networking site or a third-party login service, we may collect information about you from that third party that you have made available via your privacy settings.\r', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:49.479893","1"
"50","""Should you choose to use the Google Contacts feature within our Services, we will have the ability to view your contacts via the Google People API. The sole use of this data is to populate the auto-completion of your contacts when sending invitation emails. Notion will not use this data for any other purpose""","{'paragraph': 'Should you choose to use the Google Contacts feature within our Services, we will have the ability to view your contacts via the Google People API. The sole use of this data is to populate the auto-completion of your contacts when sending invitation emails. Notion will not use this data for any other purpose', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-08-30 15:03:53.563599","1"
"51","""You don\u2019t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.""","{'paragraph': 'You don’t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.', 'summary': ""You don't have to create an account to use some of our service features. If"", 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:05:10.049120","1"
"52","""In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.""","{'paragraph': 'In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.', 'summary': 'You must provide us with payment information, including your credit or debit card number, card', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:05:17.062108","1"
"53","""The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.""","{'paragraph': 'The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.', 'summary': 'The Services also include our customer support, where you may choose to submit information regarding a', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:05:21.629552","1"
"54","""From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.""","{'paragraph': 'From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.', 'summary': 'We may ask our registered users or visitors to participate in surveys. These surveys are optional', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:05:27.473000","1"
"55","""When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.""","{'paragraph': 'When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.', 'summary': 'We may receive information about you, or combine such information with other personal information. This', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:05:43.697935","1"
"56","""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them.""","{'paragraph': ""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them."", 'summary': 'We may provide links to online services that we do not own or operate. These services', 'label': 'policy', 'status': 'OK'}","policy","","2022-09-05 21:05:51.515183","1"
"57","""You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.""","{'paragraph': 'You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.', 'summary': 'You may use content and/or functionality from third-party services in your presentations,', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:05:56.965615","1"
